Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.16  released 5-9-2005  

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  7-08-2005   9:09:06
Solution file PAR.T35.
Memory used for PAR.T35 arrays:       4.179 M
Reading keyword commands and data from file:
PAR.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (-21.001,0.0)
(Zmax,Rmax) = (23.81233,60.8499985)
Z and R increments:    94   122

      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  -6.69887      0.997541      1.068736E+00  3.474881E-03  1.068742E+00  5.962084E+01
  -6.22214      0.997541      1.065555E+00  3.231889E-03  1.065560E+00  5.944236E+01
  -5.74540      0.997541      1.062589E+00  3.025934E-03  1.062593E+00  5.927580E+01
  -5.26866      0.997541      1.059799E+00  2.853961E-03  1.059802E+00  5.911931E+01
  -4.79192      0.997541      1.057158E+00  2.713283E-03  1.057162E+00  5.897112E+01
  -4.31519      0.997541      1.054637E+00  2.599654E-03  1.054640E+00  5.882968E+01
  -3.83845      0.997541      1.052209E+00  2.511893E-03  1.052212E+00  5.869361E+01
  -3.36171      0.997541      1.049854E+00  2.446693E-03  1.049857E+00  5.856159E+01
  -2.88497      0.997541      1.047549E+00  2.402121E-03  1.047552E+00  5.843249E+01
  -2.40824      0.997541      1.045278E+00  2.377032E-03  1.045281E+00  5.830523E+01
  -1.93150      0.997541      1.043022E+00  2.368886E-03  1.043024E+00  5.817885E+01
  -1.45476      0.997541      1.040763E+00  2.377106E-03  1.040766E+00  5.805246E+01
 -0.978023      0.997541      1.038490E+00  2.399980E-03  1.038493E+00  5.792523E+01
 -0.501285      0.997541      1.036188E+00  2.436183E-03  1.036191E+00  5.779642E+01
 -2.454766E-02  0.997541      1.033843E+00  2.485808E-03  1.033846E+00  5.766532E+01
  0.452190      0.997541      1.031446E+00  2.546838E-03  1.031450E+00  5.753126E+01
  0.928927      0.997541      1.028984E+00  2.619245E-03  1.028988E+00  5.739365E+01
   1.40567      0.997541      1.026449E+00  2.702160E-03  1.026452E+00  5.725189E+01
   1.88240      0.997541      1.023829E+00  2.794830E-03  1.023833E+00  5.710544E+01
   2.35914      0.997541      1.021114E+00  2.897550E-03  1.021119E+00  5.695379E+01
   2.83588      0.997541      1.018298E+00  3.009134E-03  1.018303E+00  5.679642E+01
   3.31262      0.997541      1.015370E+00  3.129732E-03  1.015375E+00  5.663287E+01
   3.78935      0.997541      1.012323E+00  3.259015E-03  1.012329E+00  5.646266E+01
   4.26609      0.997541      1.009149E+00  3.396576E-03  1.009155E+00  5.628533E+01
   4.74283      0.997541      1.005838E+00  3.542894E-03  1.005844E+00  5.610043E+01
   5.21957      0.997541      1.002384E+00  3.697351E-03  1.002391E+00  5.590752E+01
   5.69630      0.997541      9.987789E-01  3.859977E-03  9.987864E-01  5.570615E+01
   6.17304      0.997541      9.950132E-01  4.031670E-03  9.950213E-01  5.549588E+01
   6.64978      0.997541      9.910804E-01  4.211548E-03  9.910893E-01  5.527624E+01
   7.12652      0.997541      9.869707E-01  4.400532E-03  9.869805E-01  5.504677E+01
   7.60325      0.997541      9.826772E-01  4.598600E-03  9.826880E-01  5.480699E+01
   8.07999      0.997541      9.781901E-01  4.805985E-03  9.782019E-01  5.455640E+01
   8.55673      0.997541      9.734993E-01  5.023911E-03  9.735123E-01  5.429448E+01
   9.03347      0.997541      9.685967E-01  5.252111E-03  9.686110E-01  5.402068E+01
