#BLTrackFile NTuple/Z15050
#x y z Px Py Pz t PDGid EventID TrackID ParentID Weight
#mm mm mm MeV/c MeV/c MeV/c ns - - - - -
-5.71309 -70.7471 15050 -7.83061 -71.3644 379.202 53.0318 -13 118972 1001 1 1
-16.8696 127.67 15050 -15.3416 96.3318 345.199 72.8499 -13 119149 1001 1 1
1.86248 -55.5685 15050 2.61985 -42.2771 377.863 54.7708 -13 119328 1001 1 1
-198.453 243.59 15050 -169.51 208.415 277.527 1168.63 -13 121617 1001 1 1
-4.90334 136.134 15050 0.678304 109.72 382.422 69.8379 211 122086 1 0 1
141.185 -273.86 15050 33.1727 -46.0994 28.5269 79.6758 22 123434 1005 1004 1
-118.918 297.095 15050 -20.6682 80.3745 37.3746 79.7807 22 123434 1006 1004 1
-347.741 -231.7 15050 -77.4452 -50.2358 37.5489 79.8913 22 123434 1009 1008 1
-50.4749 -23.4153 15050 -90.0328 -45.3297 374.912 125.675 -13 123659 1001 1 1
-297.198 61.2126 15050 -257.932 55.4237 287.174 78.8373 211 123997 1 0 1
-88.7935 -130.464 15050 -110.321 -189.022 327.452 88.654 211 126542 1 0 1
45.99 24.4137 15050 41.2168 23.6741 430.842 51.9548 -13 126663 1001 1 1
-12.307 -35.8721 15050 -25.0902 -82.1139 386.811 119.193 211 128401 1 0 1
166.544 21.8916 15050 126.241 14.5909 253.353 60.2429 -13 128811 1001 1 1
-328.078 11.3875 15050 -181.092 -1.23319 180.833 93.3626 -13 128920 1001 1 1
-222.282 -35.05 15050 -219.131 -36.7031 299.02 316.052 -13 130093 1001 1 1
-149.88 71.7947 15050 -154.098 76.0191 376.476 55.0549 -13 130789 1001 1 1
-74.2603 -87.5779 15050 -81.2317 -107.4 309.191 96.9627 -13 130955 1001 1 1
-32.7537 69.7608 15050 -100.3 -0.486505 367.378 76.2981 211 132184 1 0 1
81.26 53.6727 15050 55.8647 36.4278 345.484 67.3135 -13 132390 1001 1 1
-37.8812 22.2815 15050 -52.5581 14.7641 266.832 80.9716 -13 132577 1001 1 1
-82.1656 -33.9506 15050 -103.521 -51.1089 333.934 73.4027 -13 132778 1001 1 1
-71.1769 31.4114 15050 -40.9408 19.5737 417.558 116.926 -13 133461 1001 1 1
-85.3702 45.9964 15050 -2.61585 -3.07148 10.5061 116.926 11 133461 1002 1001 1
-243.454 -43.7202 15050 -236.127 -42.0299 308.317 92.4736 211 133649 1 0 1
-266.192 -61.0021 15050 -39.9858 -18.9564 53.1557 70.1287 22 133706 1004 1002 1
-111.001 -55.6108 15050 -88.5702 -44.0711 311.391 55.6574 -13 134804 1001 1 1
15.405 29.6142 15050 24.6236 44.7966 382.243 54.2249 -13 134863 1001 1 1
40.4456 13.2151 15050 48.3107 18.9083 414.564 52.5213 -13 135029 1001 1 1
-344.213 143.092 15050 -163.834 63.4604 149.486 168.037 -13 136328 1001 1 1
44.6211 84.2833 15050 14.9366 57.222 308.116 82.5235 -13 136700 1001 1 1
-185.117 -32.1606 15050 -210.758 -28.3654 330.401 73.683 211 137167 1 0 1
-209.504 -56.7903 15050 -218.655 -63.4924 325.66 84.7331 -13 137172 1001 1 1
-165.234 78.2649 15050 -117.161 33.1652 197.952 88.2059 -13 137713 1001 1 1
-206.014 123.597 15050 -192.309 114.69 320.926 61.4088 211 138257 1 0 1
9.70595 13.5011 15050 -6.77986 -15.9527 391.765 68.9449 -13 138645 1001 1 1
-57.008 -86.3988 15050 -56.6218 -76.0156 272.045 61.2136 -13 139073 1001 1 1
-229.709 71.9164 15050 -180.036 57.5174 251.394 69.6678 -13 139342 1001 1 1
-23.9025 -54.5453 15050 -37.8517 -95.4468 383.082 107.641 211 139598 1 0 1
22.6439 79.2333 15050 93.3155 99.7922 201.991 156.745 2112 139966 1002 1 1
-196.439 -106.304 15050 -31.6285 -20.3602 67.5804 153.913 22 139966 1004 1003 1
-128.628 -28.7728 15050 -161.438 -38.4892 353.974 67.4684 211 140178 1 0 1
-176.646 -49.9977 15050 -195.756 -56.5877 337.644 73.202 211 140281 1 0 1
-69.7578 -28.0107 15050 -108.613 -42.9493 376.097 71.109 211 141863 1 0 1
-295.847 83.2134 15050 -253.274 73.0117 284.352 111.557 211 142400 1 0 1
-277.8 181.659 15050 -170.477 101.442 188.01 130.49 -13 143835 1001 1 1
-267.116 153.365 15050 -224.303 134.938 284.793 88.8603 211 146402 1 0 1
-141.12 -110.5 15050 -127.048 -114.554 264.788 72.285 -13 146745 1001 1 1
-156.598 -72.9931 15050 -123.876 -67.2382 240.743 295.324 -13 147416 1001 1 1
42.9755 196.335 15050 27.4919 99.3119 179.575 68.4452 -13 147802 1001 1 1
33.8558 198.565 15050 31.3468 128.003 243.035 69.2691 -13 149399 1001 1 1
-80.6456 -91.9456 15050 -107.311 -118.255 354.054 125.294 -13 149484 1001 1 1
-107.017 4.24028 15050 -89.6447 5.86819 231.008 72.5382 -13 149655 1001 1 1
18.8352 252.603 15050 16.8561 225.66 305.426 62.5084 -13 150712 1001 1 1
-204.679 16.6535 15050 -173.883 7.30826 255.526 74.7637 -13 152118 1001 1 1
29.8545 184.059 15050 -1.51774 107.8 206.106 90.6447 -13 152882 1001 1 1
444.532 344.921 15050 14.9161 10.6618 7.78335 73.8669 -11 155477 1004 1003 1
409.517 307.322 15050 43.1386 27.764 26.0452 73.7141 11 155477 1005 1003 1
-22.777 -31.4868 15050 -17.0816 -35.2013 93.9306 72.7369 22 155477 1006 1002 1
133.732 -54.0872 15050 129.062 -49.8348 365.456 55.7388 -13 155733 1001 1 1
33.6556 125.48 15050 22.4868 84.3703 311.058 87.5605 -13 158455 1001 1 1
-41.6236 90.7479 15050 -29.51 67.5503 296.368 55.2698 -13 158589 1001 1 1
-154.287 80.0385 15050 -131.238 68.6039 318.065 60.7999 -13 158965 1001 1 1
141.131 94.4601 15050 75.1199 48.5916 213.521 141.834 -13 159084 1001 1 1
24.0573 66.966 15050 23.952 55.2758 332.387 55.7691 -13 159630 1001 1 1
14.1405 111.212 15050 6.24361 77.2101 357.28 88.4052 -13 159801 1001 1 1
-188.625 -116.611 15050 -195.175 -117.427 319.359 106.279 211 160880 1 0 1
12.7647 13.7148 15050 -7.27942 -3.61874 345.479 57.1642 -13 161307 1001 1 1
-63.5381 -77.0688 15050 -91.5031 -111.334 366.988 131.572 211 161869 1 0 1
-258.677 183.616 15050 -218.14 151.323 280.402 78.0689 211 162367 1 0 1
-410.832 -120.33 15050 -169.524 -64.3813 125.244 219.71 -13 162734 1001 1 1
-231.913 38.1656 15050 -214.067 35.2256 307.444 66.2234 -13 163617 1001 1 1
30.2331 116.964 15050 19.5492 65.1598 227.16 68.92 -13 164638 1001 1 1
-236.344 4.07769 15050 -228.792 11.1634 315.316 72.6085 211 164650 1 0 1
-44.6978 76.4456 15050 -30.3891 56.783 372.912 64.412 -13 166138 1001 1 1
-219.101 21.1501 15050 -222.576 27.7737 324.652 64.0792 211 166250 1 0 1
-68.6009 103.786 15050 -54.6921 89.4503 375.972 61.1236 -13 167414 1001 1 1
11.1133 157.438 15050 13.0273 135.68 276.442 59.5282 -13 167569 1001 1 1
-340.01 -57.9798 15050 -241.101 -42.1269 227.583 177.396 -13 167582 1001 1 1
